No Entidade Certificadora;Nu Ano;Nu Nota Comp1;Nu Nota Comp2;Nu Nota Comp3;Nu Nota Comp4;Nu Nota Comp5;Nu Nota Redacao;Q01;Q02;Q03;Q04;Q05;Q06;Q07;Q08;Q09;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q31;Q32;Q33;Q34;Q35;Q36;Q37;Q38;Q39;Q40;Q48;Sg Uf Prova;Tp Sexo;Tx Gabarito Ch;Tx Gabarito Cn;Tx Gabarito Lc;Tx Gabarito Mt;Tx Respostas Ch;Tx Respostas Cn;Tx Respostas Lc;Tx Respostas Mt;Co Prova Ch;Co Prova Cn;Co Prova Lc;Co Prova Mt;Co Uf Prova;In Aprovado Ch;In Aprovado Cn;In Aprovado Lc;In Aprovado Mt;In Prova Ch;In Prova Cn;In Prova Lc;In Prova Mt;Nu Idade;Nu Inscricao;Nu Nota Ch;Nu Nota Cn;Nu Nota Lc;Nu Nota Mt;Q10;Q11;Q12;Q13;Q14;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q41;Q42;Q43;Q44;Q45;Q46;Q47;Tp Certificacao;Tp Presenca Ch;Tp Presenca Cn;Tp Presenca Lc;Tp Presenca Mt;Tp Status Redacao
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.6;2;1.6;1.4;2;8.6;C;B;B;G;G;A;A;A;L;A;A;A;D;E;J;F;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCBABCDBDBCDBABAADDBCDCAACBA;CBCCBADBCBDDBCCCABDCBABDADABCD;ABBDCDBADCDDADBDBB*ADABACADDCC;ADABADCAADCBDABDCAACDCDBCCBDBC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;25;180003747206;124;127;119;114;5;5;5;5;2;5;3;5;5;1;3;5;5;2;0;0;0;0;5;5;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.2;0.4;1.2;1;0;3.8;B;C;A;F;A;B;B;A;E;D;D;A;B;C;J;E;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABD.DADDDABDDDADDDDDAAAAADDAA;ADDDDADACCDDADADDDDAAADDADADDA;AABAAADADAADD.DDDAADCDDCABDDAA;ADDDDADADDDAADADDDDADAAADDDDDA;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;37;180004993652;91;98;85;76;4;5;2;3;1;4;3;5;3;1;3;3;4;3;0;0;1;3;4;1;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ABAETETUBA;2019;1.4;1.4;1.4;1.4;2;7.6;C;C;B;G;A;B;A;A;J;A;A;A;A;A;F;E;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABAAAADDBBBBCAABCDCACCCBCDBAC;CCCABDCBCCDCBCCBAAAABDDDADDAAD;ABABCCCCCCDDDDCAAADDAABACDACCC;BBDBABCDAABCBCBDAABAAACADABACB;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;30;180005219075;97;129;106;86;5;5;5;5;5;5;5;5;3;0;5;5;5;0;0;0;2;0;5;3;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.6;1.6;1.6;1.4;1.6;7.8;C;C;B;F;F;C;C;A;D;E;A;A;A;B;J;E;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABDA.CADCDBCDABBCDBDBCCCBADCD;ACDCCAACBCDDBCCCCCCCBCBD*DAABC;ABDDDADBBBDDDDCABCADDADBDADAAC;BAACDBDBDDDACCDABDBCADBBACCBCA;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;32;180005775147;104;119;108;90;5;4;5;3;5;5;2;5;5;2;5;1;1;5;2;3;1;5;5;2;2;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1;1.6;1.2;1;1.2;6;C;A;B;A;A;B;A;A;L;A;B;A;C;A;K;F;A;;B;;B;B;B;B;A;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BABBABCBAACDCCBABABCDBDBACBCCB;BCDBCDCDCCDABBCBCBCBBADBDDCADD;ACBABABCABADBCCACBBBCCCACBAABC;DBBDBBACBABBADCBABDBBCCBAACBBA;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;22;180004652450;87;110;100;74;3;0;5;5;3;5;5;5;2;3;3;5;5;0;0;0;4;3;0;2;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.6;1.8;8.2;C;A;B;G;C;C;B;A;D;D;D;D;B;C;K;E;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCCCBCABCBCDAADBCDDCCDBAABBD;;ADBD.A.CBADABABAABDCBCBBCADDCC;;201912;;201911;;15;1;;1;;1;1;1;1;24;180006155853;134;;127;;5;3;3;1;5;5;0;5;0;0;5;5;5;5;0;0;0;0;5;0;0;2;1;0;1;0;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;0.6;1.2;0.8;0.8;0;3.4;B;A;A;G;G;C;C;A;A;D;B;A;A;A;J;H;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ACCCCCCDACCACDACBDDCDCCBDCCDDB;ADBDCACADADDA*BDACBBBABDCACAAD;CDBBDBDDDDADACCADCCACBCAACBDCC;CCBDCCCADDBDCCADBBBBCDADCACBAD;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;42;180005433517;87;93;91;73;5;5;5;0;5;5;5;5;5;0;5;5;5;0;2;5;0;0;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.4;1;1.4;0;5.2;B;A;B;F;F;B;B;A;K;B;C;A;A;D;I;F;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABACCBCACABCAABAACDBACDDBACBA;ADCACDCADCCDADDDADACBBCCADABDD;ADBBCABAADCBADAABACCBABACCDBAA;DACBCBCBCBAABCAACCAAABABAADAAA;201912;201909;201911;201910;15;1;0;1;0;1;1;1;1;60;180004295499;111;76;108;79;1;1;1;1;0;1;1;1;1;0;2;1;2;1;0;0;0;0;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.8;1;1.6;1.8;1.2;7.4;C;A;B;A;A;B;B;A;J;A;C;A;B;A;I;E;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCACABDBACBBCDABCACADBCCDBCCBA;DCCACBABDBDBBBCCCACAACDDADADAB;BCBACCADDDBDADCABCDCACBACBDACC;DDACDBCBBCBDBCCDCCCADDCBCDCCBA;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;46;180004570104;116;128;114;74;5;5;5;5;4;5;3;5;5;0;5;5;5;3;0;1;0;5;5;5;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.4;1.4;1.4;1;1.6;6.8;B;A;B;G;C;B;B;A;D;E;C;D;B;D;J;E;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DDBCADDCBCDBB*AACCACBBABCCACCD;BCDDCDCDCCDBBAADCBDABBBCADCAAD;ABBABADCDCDCABADBDCBCACACADCCC;CCABBBCBAADBCDCDABBBACCACBBAAC;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;21;180004885712;105;113;113;73;5;5;5;5;5;5;5;5;0;0;5;5;5;5;0;0;0;0;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.6;1.6;2;8;B;A;A;B;B;B;B;A;A;A;B;A;C;C;F;D;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCABBBCDBBCDAAACDDDBCBCAACBD;BCBDBACDBCDBBCCBBABBBBDDBDAAAA;ADBDDDCCACDAACCABBDCDCABCADACC;BBACACCACDCDBDACAABDBCCABCCBCC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;38;180006470059;135;129;130;101;5;5;5;5;5;5;3;5;3;0;3;5;5;4;1;0;4;3;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.4;1.8;7.4;B;B;B;B;B;C;B;A;I;B;B;D;B;D;I;E;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CBBBBBCCDBCCDDCCDCABBDCBBCABCC;DDDDDDCCCCCCAAAAAABBBBBBCCCCCC;BCDBBCAADDABCCCCCCBBBBBBAAAAAA;DCADDCCCCABBDDDDDDBB.CCDDDDDAD;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;24;180003697314;82;73;82;80;5;5;4;4;4;4;4;5;0;0;3;3;5;5;2;3;1;0;1;1;1;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.4;1.6;1.4;1.2;1.6;7.2;B;B;B;F;F;B;B;A;K;E;B;A;A;C;K;F;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCAABBABBCDAAAAADCCBBCACCBA;ACCCBACCBCDBBCCAACCDBABDABCAAD;ACBBBDCCACDADDCABDBCCDBBCADBCC;CDABCADBADBDCDDCCCBCABBACCACAD;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;23;180006428926;128;120;128;95;5;5;1;1;1;5;2;5;2;4;5;4;3;3;2;4;4;5;1;1;1;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.4;1.8;1.8;1.6;1.6;8.2;B;B;B;F;A;B;A;A;K;A;B;A;C;A;K;E;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCADBDADBBBDABCBBDDCCBCADDBC;BDDABADBACDBBCCBCADABBBAADBDAD;ABBCBDACDBDAAABABBBCDCBBCADACC;BABBADCBADBCADDABCBCBBDBACDBAC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;22;180004160202;133;130;135;130;5;0;5;5;5;5;4;5;4;0;3;5;4;2;0;0;0;4;0;5;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.6;1.8;1.8;1.8;1;8;C;C;B;A;A;A;A;A;J;A;B;A;B;D;F;D;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBCBBCBC*CBCDAABADAACDCAACDCA;BADDCAADBCDBBCCBABABBCCDDDBAAD;AC*BDDACCACABBCABBCBCCBBBADACC;ADACDADBDBABACBDCCDCACBBCCDDAB;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;25;180004195784;98;134;119;80;5;3;5;4;4;5;5;4;5;0;5;5;5;0;0;3;0;0;3;5;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1;1.4;1.2;1.2;1.6;6.4;C;A;A;G;B;F;A;A;J;A;A;A;D;A;J;E;B;;;;;;;;;;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CABCABBCBCBBBDABAC*DBCCBCABCCA;AADADACBDCDDBDCACCCABADDBDBADD;BABCBADABBABDCAABBAACAABDADBAA;CDACDCDDADDBACDDABCCADCBCABAAA;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;31;180004531303;116;108;103;82;5;5;5;5;5;5;1;5;1;1;5;5;5;1;1;1;1;0;4;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.4;1.4;1.4;1.4;1.6;7.2;C;A;B;B;B;C;C;A;L;D;B;A;A;D;J;E;A;;A;;A;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ADBBCDCCDABACBACBCBAAAABCAABCC;;;;201911;;15;;;1;;0;0;1;0;46;180004956699;;;118;;5;5;4;5;3;5;1;4;3;1;4;4;5;4;1;4;2;5;3;3;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1;1.4;1.4;0;5.4;B;B;A;C;C;B;B;A;D;E;B;A;D;C;K;F;A;;B;;A;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBABCBBACBBABBADAACCABACBDCCC;;;;201911;;15;;;1;;0;0;1;0;23;180003723617;;;108;;4;4;3;3;2;5;3;3;3;1;3;3;5;4;2;2;1;4;0;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;0.6;0.4;1;1;0;3;C;A;B;F;F;B;B;A;K;A;A;A;A;F;J;H;A;;A;;B;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCABB*CDABA**ADDAADDBABBBDBACB;;;;201911;;15;;;0;;0;0;1;0;58;180004122170;;;85;;5;5;5;5;0;5;5;0;5;0;0;5;5;5;0;0;0;5;5;0;5;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1;1.6;1.4;1.4;1.8;7.2;C;A;B;C;B;B;A;A;L;A;B;A;C;C;I;E;A;;B;;B;B;A;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBCBAACABBDDDABBBDADCBCCBDACC;;;;201911;;15;;;1;;0;0;1;0;30;180004789870;;;120;;5;5;5;5;5;5;5;5;4;4;5;5;5;3;4;3;0;3;2;1;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS MARABÁ INDUSTRIAL;2019;1.2;1.4;1;1;0;4.6;B;A;B;B;D;B;B;A;D;A;D;D;B;A;K;F;A;;B;;B;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BACADDADDBABAACBABBCDBCACBDAAD;;;;201911;;15;;;0;;0;0;1;0;23;180006099125;;;93;;1;2;1;1;0;5;1;3;5;0;5;5;5;1;0;0;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.8;1.2;1.4;1.8;7.4;B;A;B;C;A;B;B;A;G;C;D;A;C;C;J;G;A;;B;;B;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBBCADCABDAADBABAADBCDBCDDBCC;;;;201911;;15;;;1;;0;0;1;0;34;180004381071;;;119;;5;5;5;5;5;5;5;5;1;0;5;5;5;4;2;2;2;5;4;2;2;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.4;1.4;1;1;1.6;6.4;B;A;B;B;C;B;B;A;D;D;B;A;D;C;K;E;A;;B;;B;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ADBDBCCADADAADAACADBADBBCACACC;;;;201911;;15;;;1;;0;0;1;0;24;180004531446;;;125;;5;5;5;5;5;5;5;5;5;0;5;3;5;5;0;0;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ABAETETUBA;2019;1;1.6;1;1;1.2;5.8;B;A;B;A;A;B;B;A;D;E;A;D;A;B;K;H;A;;B;;B;B;B;B;A;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBABBDCDBBBACCBDCACCCBBCADBBA;;;;201911;;15;;;1;;0;0;1;0;39;180003741785;;;104;;2;1;2;2;1;4;2;4;1;0;1;4;5;5;1;0;0;3;0;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS MARABÁ INDUSTRIAL;2019;1.2;1.4;1.4;1.2;1.8;7;C;A;B;C;C;B;B;A;K;D;C;C;A;A;J;F;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CCABDDABBBCBCBCACACACADBCADDCC;;;;201911;;15;;;1;;0;0;1;0;25;180005714141;;;103;;5;5;2;5;5;5;5;5;2;2;5;5;5;5;1;0;0;5;2;1;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.4;1.4;1.2;2;7.6;A;A;B;G;B;A;B;A;G;D;B;A;C;A;L;F;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBBBABDAADAADBABADCCCCBCBDCCC;;;;201911;;15;;;1;;0;0;1;0;25;180005063600;;;124;;4;3;5;4;4;4;4;4;3;2;3;4;4;3;1;1;1;4;1;1;1;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1;1;1.2;1.4;0.8;5.4;B;B;B;F;F;B;B;A;K;A;A;A;A;D;L;F;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBDAAABDADAADBABACACADACADCCA;;;;201911;;15;;;1;;0;0;1;0;32;180006056457;;;115;;5;5;5;5;5;5;1;5;1;1;5;5;5;2;1;1;5;4;2;3;1;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1;1.4;1;1.2;0;4.6;C;C;B;G;G;C;C;A;G;D;B;A;C;C;K;G;A;;A;;B;B;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;ADCAABBABDBCACBAACAAABDBABABBA;;ACBACCAACBDDAABBBCDACBCAAAAADC;;201912;;201911;;15;0;;0;;1;0;1;0;31;180003663952;79;;91;;5;5;5;5;2;5;5;3;4;0;4;5;5;0;0;0;3;5;2;0;0;2;1;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1;1.6;1.4;1.6;2;7.6;B;B;B;A;A;C;C;A;K;E;C;A;C;D;L;B;A;;B;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DBBCABBCACDBDAAADBDCBCABDAACBA;;CCBBDADCDADCADABCCDBCABACADBCC;;201912;;201911;;15;1;;1;;1;0;1;0;24;180005843965;114;;115;;5;5;5;5;5;5;5;5;5;1;5;5;5;3;2;0;4;2;0;0;0;2;1;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1;1.6;1;0.8;1.8;6.2;B;A;B;A;A;C;C;A;E;D;A;A;B;D;J;E;A;;B;;B;B;B;B;B;B;;PA;M;;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;BCBDCACBBCDABCCACDCABAC*BDBCAC;CABADACADBACBACADCACDACABCDADC;;;201909;201911;;15;;1;1;;0;1;1;0;35;180004489545;;118;101;;5;5;5;5;5;5;5;5;4;2;5;5;5;3;0;2;3;5;2;0;0;2;;1;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.6;1.6;1.6;1.8;8.2;B;A;B;C;B;B;A;A;K;D;B;A;B;D;J;E;A;;B;;B;B;B;B;B;B;;PA;M;;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;ABDABDCCACDDBCCCCBBBBADDBDCAAD;ACBDBCCCDADDADAABDAADACCCADCCC;;;201909;201911;;15;;1;1;;0;1;1;0;23;180004561831;;129;124;;5;5;5;5;4;5;4;4;4;2;5;5;5;5;2;1;3;4;0;1;0;2;;1;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;0.8;1;1.4;1.2;5.8;B;A;B;B;B;B;B;A;G;A;A;A;B;C;I;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCABBCCCBBCDAAAAABDDCBDCACBA;DBCBDABBCCDDBCBCCBCDDACCADCDAD;ABBABDADBDCDDACADABCABDDCDDADC;;201912;201909;201911;;15;1;1;1;;1;1;1;0;33;180005665458;128;120;107;;5;5;5;5;2;5;5;5;5;1;5;5;5;1;0;0;2;5;5;0;2;2;1;1;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.6;1.8;1.6;0;6.6;C;A;B;A;F;C;C;A;C;A;A;A;B;D;I;F;A;;B;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCABBBBABBCDAAABADDCCDBAACBA;CDCADADBCCDBBCCCBACBAACDADDDAD;ACBABCADAADAAABABCACACBBCADACC;;201912;201909;201911;;15;1;1;1;;1;1;1;0;35;180004739100;140;158;127;;5;5;5;5;5;5;5;5;5;3;4;3;5;2;0;0;3;5;3;5;0;2;1;1;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BRAGANÇA;2019;1.4;1.6;1.2;1.4;1.8;7.4;B;A;B;A;A;C;C;A;G;E;A;D;C;D;J;E;A;;A;;A;B;A;A;B;A;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ADDBCDBCBBBDACCACADDBCBBDADBAC;ABCCCBDCBAADBCDDAAADDACBBADBAC;;;201911;201910;15;;;1;0;0;0;1;1;44;180005553006;;;102;87;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1;1.4;1.2;1.4;6.4;B;A;B;B;B;B;B;A;D;E;D;A;C;D;I;F;A;;A;;B;B;A;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBDBDCBDADAAABBBBDDCCBBCADACC;;;;201911;;15;;;1;;0;0;1;1;21;180003648292;;;131;;5;5;5;5;5;5;2;5;5;0;5;5;5;5;0;0;0;5;0;0;0;2;;;1;0;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.4;1.2;1.2;1.6;6.8;B;A;B;A;B;B;B;A;A;A;A;A;B;D;I;F;A;;A;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;CBBCBAACABBDBBACCADDCBABCBAACC;CACBBADABADBAABDABABADDBCCABCA;;;201911;201910;15;;;1;0;0;0;1;1;46;180005756426;;;104;94;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;0;0;4;0;0;0;2;;;1;1;1
